run_type,param2,param3,weights,model_setting,model,mae_raw,mae_weighted,crps_raw,crps_weighted,mae_improvement_pct,crps_improvement_pct
calibration,0.1,0.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.418436619129085,2.6752354844264814,2.636847929635878,1.597499160191272,1.2607823645114564
calibration,0.1,0.05,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.4030170100108235,2.6752354844264814,2.6301459719299904,1.7900043781358008,1.4666047037822845
calibration,0.1,0.1,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.388777661869616,2.6752354844264814,2.6237007289109444,1.9694025964153745,1.665426613125147
calibration,0.1,0.15,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.376926106469981,2.6752354844264814,2.617742483714432,2.1197437693864893,1.850164467724554
calibration,0.1,0.2,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.366765237379734,2.6752354844264814,2.612338836311514,2.2491712257159344,2.0185531345213756
calibration,0.1,0.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.3578610927505075,2.6752354844264814,2.6074665852932104,2.3633517992083384,2.171067818028048
calibration,0.1,0.3,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.349886268779283,2.6752354844264814,2.6030669063637153,2.4657672322989885,2.3092719192593147
calibration,0.1,0.35,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.342954623032868,2.6752354844264814,2.5990765857730893,2.5551118022630317,2.4349365213701963
calibration,0.1,0.4,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.3366439384032605,2.6752354844264814,2.595432763503968,2.636861015234975,2.5498872808030777
calibration,0.1,0.45,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.331039062891174,2.6752354844264814,2.5920790312102224,2.709557475308493,2.65577989129744
calibration,0.1,0.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.325853762951596,2.6752354844264814,2.5889816138911095,2.7765102854531563,2.753660667854044
calibration,0.1,0.55,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.320918101498967,2.6752354844264814,2.5860953878693804,2.8402160973781676,2.8449097691500063
calibration,0.1,0.6,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.316443442730631,2.6752354844264814,2.583399510298279,2.898300955966485,2.9301814790761345
calibration,0.1,0.65,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.312214904150829,2.6752354844264814,2.580870330892249,2.9526099575979567,3.01022789090539
calibration,0.1,0.7,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.30839968113187,2.6752354844264814,2.578484268174286,3.0022378347237617,3.0857557945543572
