AGENT,MODEL,RISK,SCENARIO,DATA,file,SCP,p,lambda,threshold,weights,PROFIT,STD-,RTP,TOPK,SORTINO,static_profit,static_std_minus,static_rtp,static_topk,static_sortino
PROP,BANDS,RISK AVERSE,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_bands_risk_averse.csv,0.2,1.75,0.7,iqr,kernel,8501.619037645205,8.781993095382518,0.0119582900551637,0.4558092505935029,968.0739833552442,10488.94785403248,10.491726423389238,0.014753646365075,0.457962019691469,999.7351656682008
PROP,BANDS,RISK AVERSE,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_bands_risk_averse.csv,0.4,3.0,5.0,iqr,kernel,36490.64652597656,9.530763457089,0.0513273687665666,0.4169684063489066,3828.722293892914,39241.5991936229,12.850507855707455,0.0551968305457965,0.3967278618335273,3053.7002610518643
PROP,BANDS,RISK AVERSE,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_bands_risk_averse.csv,0.45,1.25,0.0,5_95_IPR,kernel,63284.80364065809,13.767197510469227,0.0890157550777155,0.3525752749756793,4596.781849939564,61425.803002295135,13.16976874563669,0.086400903865512,0.371474312156199,4664.151982368428
PROP,BANDS,RISK AVERSE,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_bands_risk_averse.csv,0.35,1.25,2.0,iqr,kernel,35528.156894741616,9.99377046075094,0.0499735407328204,0.4127204237869316,3555.0303095586605,43622.637771477945,12.530697096282022,0.0613591544307966,0.3964587055569551,3481.261851299653
PROP,BANDS,RISK AVERSE,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_bands_risk_averse.csv,0.6000000000000001,1.25,0.0,5_95_IPR,kernel,66651.04937872638,14.064543321792184,0.0937506817727993,0.3437179430896929,4738.941596166475,63682.810079363415,13.547919537466306,0.0895755868482037,0.369613279337573,4700.560104689934
PROP,BANDS,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_bands_risk_seeking.csv,0.3,2.0,0.9,iqr,kernel,23223.41973945418,10.256676645506836,0.0326658237786821,0.4391709401198373,2264.2246160336654,10017.168094771843,9.138771590431086,0.014090045799299,0.4663149496533239,1096.1175684990858
PROP,BANDS,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_bands_risk_seeking.csv,0.2,1.75,2.0,iqr,kernel,58919.77264410484,11.255930159259131,0.0828759472922302,0.3867620113788202,5234.553858317735,50310.38593504202,12.358566437955837,0.070766072336864,0.4039541063974629,4070.8917322747016
PROP,BANDS,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_bands_risk_seeking.csv,0.15,0.25,0.35,5_95_IPR,kernel,60213.911020570464,13.347252983513432,0.0846962690460947,0.3560708857458744,4511.333612612788,56513.36535556142,13.07645304786789,0.079491119505918,0.39311516607756,4321.765630839465
PROP,BANDS,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_bands_risk_seeking.csv,0.25,0.25,0.9,iqr,kernel,56987.50985324151,10.556868586408283,0.0801580462884769,0.357209700887023,5398.145234715867,46422.18518003183,14.571687046147453,0.0652969690736816,0.4141163358875244,3185.779727015561
PROP,BANDS,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_bands_risk_seeking.csv,0.35,0.25,5.0,5_95_IPR,kernel,65963.84697791723,14.1097125283387,0.092784069931091,0.3325045456061123,4675.066685124301,62294.24332096883,13.626735043243958,0.0876224431017815,0.3729256418168011,4571.4724123776
