AGENT,MODEL,RISK,SCENARIO,DATA,file,SCP,p,lambda,threshold,weights,PROFIT,STD-,RTP,TOPK,SORTINO,static_profit,static_std_minus,static_rtp,static_topk,static_sortino
SELLER,BANDS,RISK AVERSE,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,mae,mae,1095729.2423475245,15.438066652855133,0.4648102771329088,0.1398883361160503,70975.8072034803,1094993.4663179396,15.542972644907984,0.4637753421236531,0.1394675759599357,70449.42375785942
SELLER,BANDS,RISK AVERSE,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,mae,mae,1123803.5667656662,16.374611014589686,0.504299333630069,0.1391467666614895,68630.85576593933,1121064.0253912683,16.14788869424153,0.5004459228587664,0.1389746765828362,69424.80510105628
SELLER,BANDS,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_True_bands_risk_seeking.csv,0.05,,,mae,mae,1096868.6884492803,15.470268779933006,0.4664130103213387,0.1393306432905973,70901.72149252279,1094260.820043335,15.352396596222954,0.4627448093956207,0.1390285736920719,71276.22148014001
SELLER,BANDS,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,mae,mae,1124875.0168992623,16.33448557566706,0.5058064243877765,0.1420292076307207,68865.04087860294,1115567.6567600614,16.169342701431752,0.4927147871714303,0.1411419506858552,68992.76472514129
SELLER,BANDS,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,mae,mae,1124544.73253056,16.339570044068527,0.5053418497856755,0.1384994772885483,68823.39801461203,1119425.5598691816,16.16216961988142,0.4981412740769592,0.1381224214054347,69262.08462087621
SELLER,BANDS,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,mae,mae,1102964.5756464163,15.552030745698042,0.4749874226684608,0.1418487078266757,70920.93590102471,1099937.8027133236,15.70726885559621,0.4707299949356052,0.1410907716456013,70027.31110198295
SELLER,BANDS,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,mae,mae,1121580.7166813456,16.314842148190795,0.501172695522698,0.1389945384510724,68746.03545004089,1117545.9575607404,16.06647973533577,0.4954974447671339,0.1387145878077518,69557.61162184575
SELLER,MEDIAN,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_True_median_risk_seeking.csv,,,,mae,mae,1129395.1471579105,17.13962439117647,0.5121643932029736,0.1496874900243093,65893.80965310572,1126817.4016301252,16.823749290839395,0.5085385628084147,0.1466796393142638,66977.78135838498
SELLER,MEDIAN,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_True_median_risk_seeking.csv,,,,mae,mae,1137006.2286156698,17.39882878163851,0.522870062241112,0.1451524358320065,65349.5843246406,1138229.8621426984,16.948829301457433,0.5245912125976074,0.1456118062772701,67156.84262893732
SELLER,MEDIAN,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_True_median_risk_seeking.csv,,,,mae,mae,1136203.6628411794,17.507465547603466,0.5217411814623797,0.1440817819709631,64898.23782613184,1137386.528685926,17.01573124598074,0.5234049884155249,0.1433710764788419,66843.23537106796
SELLER,MEDIAN,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_median_risk_seeking.csv,,,,mae,mae,1134460.7160603155,17.341184456808254,0.5192895704146494,0.1461674545131676,65420.024732792655,1135384.5504576007,16.963541098802292,0.5205890263931819,0.1464581858615277,66930.86920028533
SELLER,MEDIAN,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_True_median_risk_seeking.csv,,,,mae,mae,1136675.3500294213,17.532168487382805,0.5224046518187111,0.144328806338129,64833.69988415527,1138026.880541257,17.075189035562474,0.5243057007609625,0.1439159264572397,66647.98135886462
