AGENT,MODEL,RISK,SCENARIO,DATA,file,SCP,p,lambda,threshold,weights,PROFIT,STD-,RTP,TOPK,SORTINO,static_profit,static_std_minus,static_rtp,static_topk,static_sortino
SELLER,BANDS,RISK AVERSE,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,5_95_IPR,mae,1113861.2111215994,15.918756833703076,0.490314518255858,0.1375420333226867,69971.62044484155,1113511.444064875,15.903913681597968,0.4898225395048066,0.1376772008231794,70014.93257306167
SELLER,BANDS,RISK AVERSE,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,iqr,mae,1095989.2643395094,15.445634281225464,0.4651760213972787,0.1400540349279127,70957.86708297959,1094993.4663179396,15.542972644907984,0.4637753421236531,0.1394675759599357,70449.42375785942
SELLER,BANDS,RISK AVERSE,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,5_95_IPR,mae,1121773.2725925047,16.20325772089023,0.5014435426904295,0.1387229381778792,69231.34174100347,1121064.0253912683,16.14788869424153,0.5004459228587664,0.1389746765828362,69424.80510105628
SELLER,BANDS,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_True_bands_risk_seeking.csv,0.05,,,iqr,mae,1096419.193269136,15.483587722264396,0.4657807550157594,0.1391443357972857,70811.70158596746,1094260.820043335,15.352396596222954,0.4627448093956207,0.1390285736920719,71276.22148014001
SELLER,BANDS,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,3sigma,mae,1116954.9420445778,16.181315363437246,0.4946661284098519,0.1410988000418061,69027.45030038852,1115567.6567600614,16.169342701431752,0.4927147871714303,0.1411419506858552,68992.76472514129
SELLER,BANDS,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,3sigma,mae,1120939.662267482,16.172563050061687,0.5002709949656421,0.1381492265527203,69311.19444689421,1119425.5598691816,16.16216961988142,0.4981412740769592,0.1381224214054347,69262.08462087621
SELLER,BANDS,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,5_95_IPR,mae,1098756.0701412307,15.61248244935538,0.4690677820321398,0.1398207801367184,70376.76895429254,1099937.8027133236,15.70726885559621,0.4707299949356052,0.1410907716456013,70027.31110198295
SELLER,BANDS,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_True_bands_risk_seeking.csv,0.05,,,3sigma,mae,1119656.3103745664,16.113203651682348,0.4984658453687976,0.1387364654463723,69486.88383626711,1117545.9575607404,16.06647973533577,0.4954974447671339,0.1387145878077518,69557.61162184575
SELLER,MEDIAN,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_True_median_risk_seeking.csv,,,,3sigma,mae,1123499.2005232575,16.862716340884976,0.5038712151983199,0.1469960687542121,66626.22900198147,1126817.4016301252,16.823749290839395,0.5085385628084147,0.1466796393142638,66977.78135838498
SELLER,MEDIAN,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_True_median_risk_seeking.csv,,,,5_95_IPR,mae,1137284.280026742,17.029414118966997,0.5232611665012684,0.1450067124598552,66783.52361870506,1138229.8621426984,16.948829301457433,0.5245912125976074,0.1456118062772701,67156.84262893732
SELLER,MEDIAN,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_True_median_risk_seeking.csv,,,,3sigma,mae,1137009.071409443,17.099483323897342,0.5228740608856474,0.1431003993010396,66493.76766960078,1137386.528685926,17.01573124598074,0.5234049884155249,0.1433710764788419,66843.23537106796
SELLER,MEDIAN,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_median_risk_seeking.csv,,,,3sigma,mae,1135527.24526806,17.015300126815212,0.5207897394485754,0.1465102174563093,66735.65772010856,1135384.5504576007,16.963541098802292,0.5205890263931819,0.1464581858615277,66930.86920028533
SELLER,MEDIAN,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_True_median_risk_seeking.csv,,,,5_95_IPR,mae,1135383.9233903554,17.17252488150806,0.5205881443668327,0.1434471975333832,66116.30678800031,1138026.880541257,17.075189035562474,0.5243057007609625,0.1439159264572397,66647.98135886462
