param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
,0.5,0.3,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,893.9714836481126,57.10883589834541,7.757531236759063,12.242188491672898,0.6050824175824175,34759.31085319518,0.0022245314338761,0.4810862322520648,0.494931796039832,0.1124048034149908,0.0,1.9894294215427644,4480.718129562686
,0.5,0.2,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,893.3984938138692,56.59046035975696,7.741235390228346,12.222731836263431,0.6050824175824175,34676.148862371745,0.0022280227251879,0.4807111749058643,0.4944512480318425,0.1121358738245974,0.0,1.9846696922145,4479.407628676809
,0.5,0.4,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,892.7150046916395,57.30432805097423,7.749074743693124,12.23689017256438,0.6045100732600732,34696.22063186203,0.0022305380544221,0.4810632836171356,0.4953220245176572,0.1122007819959151,0.0,1.985818488545217,4477.466249773995
,0.75,0.4,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,836.773921753329,53.44381138624488,7.68693634716561,12.243104533813105,0.6003891941391941,34412.407491703234,0.0022687786258664,0.4862217244028121,0.5016134086903974,0.1112829858876759,0.0,1.9695746046075568,4476.7389682356425
,1,0.05,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,905.5427910184952,54.58815604322807,7.77424310172191,12.284764612371903,0.6047962454212454,34789.215653101244,0.0022358822179025,0.4862932629882296,0.4985886437477444,0.1125015096807969,0.0,1.991141005786472,4474.93282598737
,0.5,0.45,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,926.7837037042918,58.348767354708166,7.750209296384679,12.235268304785576,0.6040521978021978,34629.14891275623,0.0022383866738997,0.4809721695615921,0.495346727601014,0.1119838851928504,0.0,1.9819796767832087,4468.156612094341
,0.5,0.15,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,895.2296677824233,56.937325986204605,7.74386988249794,12.223670153317215,0.605139652014652,34598.99648832873,0.0022380496059216,0.480819130541624,0.4945338006282675,0.1118863781578412,0.0,1.9802539198906095,4467.920692537274
,0.5,0.25,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,893.9714836481126,57.15272685725609,7.760412959609297,12.24138834997357,0.6049107142857143,34668.138795996114,0.0022356609726667,0.4809507230904142,0.4949198894382988,0.112109970838773,0.0,1.9842112406133308,4467.305925140034
,0.75,0.5,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,875.5309113697604,52.131204545638745,7.804925437255004,12.330467899281162,0.6044528388278388,34866.518663358824,0.0022424010749154,0.4877637360420036,0.5005306598710773,0.1127514924755677,0.0,1.9955653996885772,4467.245580198828
,0.75,0.45,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,829.3624057475026,53.187345753210856,7.701620482830756,12.257654797828913,0.6000457875457875,34351.38295062379,0.0022819215606362,0.4865546922847031,0.5021861185971805,0.111085644473961,0.0,1.966081899646508,4460.279888784889
