param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
0.05,1.75,0.2,5_95_IPR,kernel,_____None____,benchmark_prediction,1479.9261610166868,14.827768357082418,12.998937634783616,17.604924843474166,0.9755608974358976,657375.9629779992,6.976536303698872e-05,0.1954096506350078,0.1959391167608786,0.5595642506962524,0.0,37.62454000560893,50571.51449199503
0.05,1.0,0.2,iqr,kernel,_____None____,benchmark_prediction,1470.68745035131,14.456064195743949,12.983509542615383,17.391623434285453,0.9752174908424908,656591.4362744093,6.949279416386028e-05,0.194550385265913,0.1952191762234729,0.5570272449925638,0.0,37.57963806515621,50571.18293935079
0.05,1.0,0.1,iqr,kernel,_____None____,benchmark_prediction,1480.7050034723943,14.316754353391078,12.979612083198075,17.362893647234998,0.9753319597069596,656325.9900578125,6.946221251813688e-05,0.1947384409741152,0.1951635006686755,0.5561688439178178,0.0,37.564445401660514,50565.917213151326
0.05,1.75,0.1,iqr,kernel,_____None____,benchmark_prediction,1554.5114048313117,15.355996401351776,13.0057267465849,17.445788952999955,0.975389194139194,657343.0742676508,6.954107705234692e-05,0.1949579039584151,0.1956815080277219,0.5594578950484981,0.0,37.62265763894522,50542.58689851829
0.05,1.75,0.1,5_95_IPR,kernel,_____None____,benchmark_prediction,1479.9261610166868,14.971993613221173,13.005250768376404,17.583267091993626,0.9751602564102564,657048.010582086,6.974703213639525e-05,0.1954604361230658,0.1960496022259057,0.5585037168799236,0.0,37.60576983642892,50521.748660146215
0.05,1.0,0.5,5_95_IPR,kernel,_____None____,benchmark_prediction,1444.2579446856398,14.510559954848253,12.999098306001798,17.4496951968422,0.9751602564102564,656435.0672942006,6.958067365289583e-05,0.1951021892252062,0.1955627541666846,0.5565215783366629,0.0,37.57068837535489,50498.50780735452
0.05,1.25,0.5,iqr,kernel,_____None____,benchmark_prediction,1449.0414870260283,14.4116351644815,13.014450739242152,17.474099374232427,0.975389194139194,657179.3572662277,6.958720341664836e-05,0.1951121813797362,0.1956754500718103,0.5589284663311572,0.0,37.61328738932164,50496.126992486206
0.05,1.25,0.2,5_95_IPR,kernel,_____None____,benchmark_prediction,1435.8432580318768,14.805634903975934,13.00353638303034,17.446181250876904,0.975389194139194,656556.7995590253,6.957112571773114e-05,0.1949415583176659,0.1953866055331856,0.5569152366388851,0.0,37.577655652416745,50490.634256680685
0.05,1.25,0.2,iqr,kernel,_____None____,benchmark_prediction,1475.58756518038,14.820377791645171,13.01806127229762,17.35162908693822,0.9753319597069596,657094.474631993,6.94178041364303e-05,0.1945911979406787,0.1951097030005551,0.5586539725169732,0.0,37.60842917994465,50475.60161898203
0.05,1.0,0.4,5_95_IPR,kernel,_____None____,benchmark_prediction,1479.439994132612,14.753216300916598,12.997816502910958,17.36878760793273,0.9750457875457876,656021.041591837,6.948189396719225e-05,0.1947888183328333,0.1952075167678377,0.5551827003054068,0.0,37.546991849349645,50471.63432757465
0.05,1.25,0.4,iqr,kernel,_____None____,benchmark_prediction,1509.6183150992729,14.931861133108454,13.01511644483796,17.437505236953665,0.975389194139194,656857.2526612012,6.954758659958915e-05,0.1950513972923546,0.1956109733942212,0.5578868431252201,0.0,37.59485191513285,50468.79568424631
0.05,1.0,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1440.0923772756942,14.812901090457618,13.002230154422405,17.396263867283633,0.9751602564102564,656087.8005530437,6.951817374696138e-05,0.1949176852529393,0.1954040369107201,0.5553985857106822,0.0,37.55081276059087,50459.63598251572
0.05,1.0,0.5,iqr,kernel,_____None____,benchmark_prediction,1423.5224521451164,14.409961897716872,13.02575254872588,17.47379510325037,0.975389194139194,657011.2802645277,6.959309400484874e-05,0.194743633516657,0.1954388415389003,0.5583849382268611,0.0,37.60366759755768,50439.41052978113
0.05,1.25,0.1,5_95_IPR,kernel,_____None____,benchmark_prediction,1395.164226898691,14.751979480267666,13.013761382105685,17.49191640512225,0.9749885531135531,656100.8725199201,6.965313340175886e-05,0.194988232044743,0.1955973174063302,0.555440857891313,0.0,37.55156092719323,50415.92920414837
0.05,1.75,0.5,iqr,kernel,_____None____,benchmark_prediction,1549.706837235368,14.74560734836021,13.048830780455908,17.582096637736168,0.9755608974358976,657413.69967652,6.97314517083675e-05,0.1954246901055447,0.1958794775366701,0.5596862837882394,0.0,37.626699844123166,50381.04261886603
