,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
7043,0.8500000000000001,3.75,5.0,iqr,kernel,_____None____,benchmark_prediction,1630.4717232965631,19.754059299320613,13.336923981863482,17.313676276188737,0.9728136446886447,640291.8213197595,7.00095613488198e-05,0.1948232250592948,0.1940653263811428,0.504317482636932,0.0,36.64673885758697,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,48008.95785193609
7022,0.8500000000000001,3.0,5.0,iqr,kernel,_____None____,benchmark_prediction,1652.9420895541552,20.064561436581755,13.36463386773052,17.335712089990118,0.9728708791208791,640206.0688102352,7.004553216700177e-05,0.1948755602727894,0.19405509129249146,0.5040401758164336,0.0,36.64183086139167,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47903.00094610449
7139,0.9000000000000001,3.0,0.7,iqr,kernel,_____None____,benchmark_prediction,1647.638190611964,19.763271997311065,13.369625819979289,17.360567975934064,0.9726991758241759,640208.815432407,7.008218528857875e-05,0.19503826191878426,0.1942387958219173,0.5040490578545894,0.0,36.64198806275223,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47885.32035621313
7163,0.9000000000000001,3.75,0.9,iqr,kernel,_____None____,benchmark_prediction,1655.9857352825347,19.87448653446583,13.369710173593544,17.350480235488167,0.9726419413919414,639991.9858171397,7.007595569618557e-05,0.1949417534013322,0.19417764081083674,0.5033478733465996,0.0,36.6295779428308,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47868.80025875094
7160,0.9000000000000001,3.75,0.7,iqr,kernel,_____None____,benchmark_prediction,1663.4469643672928,20.011048531521176,13.371494027272778,17.364026247700345,0.9728136446886447,640075.2981450611,7.009266709257642e-05,0.19526238561668305,0.19431057770466473,0.5036172890977232,0.0,36.63434627661751,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47868.64480809326
7105,0.9000000000000001,1.75,5.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1605.2131089566974,19.782778230776525,13.374514358909869,17.4368795884476,0.9724130036630036,640211.0082829798,7.019529413277277e-05,0.19501649745649363,0.194455595477455,0.504056149103855,0.0,36.64211356930974,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47867.98167789041
6992,0.8500000000000001,2.0,0.7,iqr,kernel,_____None____,benchmark_prediction,1674.8374898066977,20.196675851861478,13.379013685262224,17.37419518935807,0.972584706959707,640305.9340725212,7.009845974461952e-05,0.19497780043168156,0.19429038251797223,0.5043631205152697,0.0,36.64754659297855,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47858.978930401725
7130,0.9000000000000001,3.0,0.0,iqr,kernel,_____None____,benchmark_prediction,1646.3580387056572,19.79616371944768,13.372565637480578,17.3612756052172,0.9726991758241759,639949.1773204583,7.009366073987207e-05,0.19511723020459262,0.19432313137730867,0.5032094390527125,0.0,36.62712782282843,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47855.3775445163
6971,0.8500000000000001,1.75,0.7,iqr,kernel,_____None____,benchmark_prediction,1662.5795522445114,20.057198668508146,13.380962839704647,17.353936440460117,0.9726991758241759,640243.3971276403,7.007098497518628e-05,0.1948605789065793,0.19416399300763498,0.5041608882838773,0.0,36.64396732644462,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47847.33391739784
7151,0.9000000000000001,3.75,0.0,iqr,kernel,_____None____,benchmark_prediction,1641.6716133459704,19.781825968522988,13.37985820108712,17.37963359162086,0.9727564102564102,640026.4568552532,7.011775833207077e-05,0.19525677897033364,0.19439062288858866,0.5034593459324348,0.0,36.631550873125754,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47835.0702403745
