param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
0.9000000000000001,1.75,0.5,iqr,kernel,_____None____,benchmark_prediction,1260.2002794176806,12.382265034616106,12.925635064351278,17.88972278600589,0.9753319597069596,659512.740657588,7.009036117567304e-05,0.1940649061845986,0.1953663673157193,0.5664741712073386,0.0,37.7468372629114,51023.62378128058
0.9000000000000001,1.75,0.35,iqr,kernel,_____None____,benchmark_prediction,1266.3956733857049,12.465622625214952,12.93369746998716,17.702185508334647,0.9756181318681318,659541.0348453077,6.98211575199917e-05,0.1940589648492849,0.1953026685790358,0.566565669068785,0.0,37.74845666468107,50994.00510764865
0.9000000000000001,1.25,0.2,iqr,kernel,_____None____,benchmark_prediction,1276.1982753521297,12.697638597568227,12.942976579944984,17.69084085903623,0.9756753663003664,659410.335622451,6.981001362881132e-05,0.1942227773718441,0.1954216105450882,0.5661430133805366,0.0,37.74097616886739,50947.34828186285
0.9000000000000001,1.25,0.5,iqr,kernel,_____None____,benchmark_prediction,1233.391178913298,12.603815007325188,12.945182156467965,17.704515079226304,0.9753319597069596,659286.8506801712,6.983418041360319e-05,0.1939002555857873,0.1953877386989176,0.5657436872627001,0.0,37.7339085783065,50929.1288999563
0.9000000000000001,1.75,0.5,5_95_IPR,kernel,_____None____,benchmark_prediction,1358.744105093996,13.19158998406236,12.908677188866696,17.634358792076167,0.975103021978022,657422.3239137002,6.980552618622777e-05,0.1939449171775677,0.195233375488033,0.5597141728821555,0.0,37.627193447441634,50928.71363153344
0.9000000000000001,1.75,0.4,iqr,kernel,_____None____,benchmark_prediction,1257.7424326450564,12.461510345712218,12.950531067293603,17.717380654125318,0.9754464285714286,659342.4952528352,6.985036943028273e-05,0.1940029191292603,0.1953056799698203,0.5659236309122687,0.0,37.73709336382986,50912.39052875568
0.9000000000000001,1.0,0.5,iqr,kernel,_____None____,benchmark_prediction,1233.1732515314943,12.608965595481022,12.945279744692773,17.70534503056858,0.9751602564102564,659040.3127474897,6.984479117480727e-05,0.193977542258855,0.1952893955340036,0.5649464318748001,0.0,37.71979811970522,50909.700349865285
0.9000000000000001,1.25,0.4,iqr,kernel,_____None____,benchmark_prediction,1234.402510244632,12.646963379407016,12.955051126258043,17.737081711285793,0.9752747252747253,659203.8587113805,6.98837607780913e-05,0.1941009780739443,0.1954976207156127,0.5654753074902605,0.0,37.72915858009275,50883.9256817187
0.9000000000000001,1.75,0.2,iqr,kernel,_____None____,benchmark_prediction,1329.2515497936402,13.033954386666531,12.967825876463175,17.664554867277925,0.9756181318681318,659452.5246278108,6.977106622159412e-05,0.1937912174037008,0.195082316576029,0.5662794443608219,0.0,37.74339083263569,50852.97496357722
0.9000000000000001,1.25,0.35,iqr,kernel,_____None____,benchmark_prediction,1234.402510244632,12.710777899105704,12.965012171176085,17.746970613198457,0.975103021978022,659067.37364461,6.990311483382618e-05,0.194202059707763,0.1955797448566643,0.565033941515998,0.0,37.72134693478766,50834.30427546021
0.9000000000000001,1.75,0.4,5_95_IPR,kernel,_____None____,benchmark_prediction,1362.690790075576,13.3701614754296,12.938036692294595,17.656850842332517,0.975103021978022,657300.4260692877,6.98422896894385e-05,0.193809629292833,0.1951562983186643,0.5593199791279765,0.0,37.62021669352608,50803.72252002893
0.9000000000000001,1.75,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1377.636589765083,13.520028597614312,12.94022075615886,17.65075448818165,0.9750457875457876,657311.3230954299,6.983316726211549e-05,0.1938075791318415,0.195132939697073,0.5593552179762522,0.0,37.620840378630376,50795.98992023258
0.9000000000000001,1.0,0.1,iqr,kernel,_____None____,benchmark_prediction,1290.1949024614878,13.258182342669786,12.960540631432066,17.265043079615673,0.9752174908424908,658207.9728096748,6.925573891000014e-05,0.1931281214033562,0.1944688341431773,0.5622548075362259,0.0,37.67215961593835,50785.53368471224
0.9000000000000001,1.75,0.1,iqr,kernel,_____None____,benchmark_prediction,1348.9750045401745,13.312235444278764,12.98834676169422,17.711189788116013,0.975389194139194,659587.9067172345,6.983217470049472e-05,0.1940438535909725,0.1953634332289217,0.5667172435223718,0.0,37.75113934965857,50783.053364614425
