,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
974,,2.25,1.25,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1628.844815772958,23.4789233044266,14.559049245257096,18.908690966952207,0.96875,646142.5594032118,7.219709383318708e-05,0.20021882715901765,0.19837935708073884,0.5232376236857758,0.0,36.98160252994573,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44380.8210631409
1386,,3.25,3,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1729.2468402470695,23.369524005590424,14.587992420316494,18.92857098520635,0.9686927655677655,647257.1298429647,7.21769778747991e-05,0.1997565338658093,0.19809274897694437,0.5268419261905554,0.0,37.04539433625027,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44369.17097252797
670,,1.5,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1658.9753033485613,23.59669333005304,14.580952945208399,18.99706340633857,0.9676625457875457,646888.7354397024,7.230245918385159e-05,0.20076869058189678,0.19910782947488748,0.5256506108433445,0.0,37.02430949174121,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44365.32631787166
850,,2,0.6,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1756.1952951962012,24.01823600772434,14.569572072039202,18.903552919827913,0.9683493589743589,646275.397999622,7.218281632539555e-05,0.20003631699015423,0.1983723736868563,0.5236671976890832,0.0,36.98920547159009,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44357.88469312039
1178,,2.75,1.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1647.3517319118837,24.31856964131347,14.570118043199333,18.877931294372672,0.9689789377289377,646296.0718220454,7.214136836604605e-05,0.19980381171077677,0.19807233351134287,0.5237340527816696,0.0,36.990388726078606,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44357.6414347382
858,,2,0.7,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1680.0877822400653,23.360666902335666,14.571174150463964,18.910620617955296,0.9680059523809523,646322.1066647975,7.219183414898974e-05,0.1996622256432948,0.19832967878897162,0.5238182443640015,0.0,36.99187881552184,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44356.213163797634
962,,2.25,0.8,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1681.780726881174,23.316269398263664,14.563492668352046,18.921294432943824,0.9681776556776557,645971.4472622272,7.222498558834609e-05,0.20017722964230672,0.19856119420488616,0.5226842805354892,0.0,36.971809023708055,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44355.53077634934
1182,,2.75,2,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1729.7375533223967,24.83895186729288,14.593254561924976,18.993510567636516,0.9692078754578755,647283.4475124651,7.227845922589417e-05,0.20013676338439473,0.1982578460909316,0.5269270323791971,0.0,37.046900613121856,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44354.975428255864
874,,2,1.25,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1664.952796543308,23.654759854455715,14.57549194535333,18.98891482934752,0.9689217032967034,646472.4395104784,7.230893114475349e-05,0.2010195487924303,0.19892356060882868,0.5243043913430641,0.0,37.000483030590566,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44353.38731167657
1082,,2.5,2,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1719.3601101922686,24.484685405358444,14.595660148114254,18.995593483076913,0.9693795787545788,647359.7770946812,7.227821077766443e-05,0.20020342085905798,0.19830907892336455,0.5271738672983354,0.0,37.051269293422685,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44352.89466357707
770,,1.75,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1630.8362042988883,23.5032080458202,14.582919808966546,18.94244278849921,0.9683493589743589,646720.2501268862,7.222374321346876e-05,0.2004799142865647,0.19860032540456232,0.5251057623408697,0.0,37.01466633052233,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44347.788961250386
1174,,2.75,1.25,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1659.4596911605913,24.595063310141505,14.571511063816,18.91305422550505,0.9688072344322345,646111.5957027233,7.220543483381295e-05,0.19994768355144688,0.1983690578148798,0.5231374931428798,0.0,36.979830340128395,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44340.74083827508
745,,1.75,0.55,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1813.748074581381,23.627387201716008,14.626202809128467,19.04181378153141,0.9688072344322345,648534.9516173158,7.229677322676548e-05,0.20032196329979557,0.19888224271628868,0.5309741515373684,0.0,37.118529740002046,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44340.62347423173
782,,1.75,2,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1644.5804117915104,23.924870236620162,14.591742263864303,19.09853086825429,0.96875,647003.8385075763,7.245843409832402e-05,0.20063771114001128,0.1988429256691872,0.526022831621008,0.0,37.030897350479414,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44340.41026819997
842,,2,0.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1765.8770771101117,24.344409026935278,14.570532988986395,18.939992677695056,0.9681776556776557,646061.4834327418,7.225044172264222e-05,0.20015537470456957,0.19867038121410752,0.522975439876642,0.0,36.976962192808024,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44340.27800637685
741,,1.75,0.5,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1769.8225139406277,23.01178019931548,14.620625938303542,19.05932792212706,0.9685210622710623,648273.9624149986,7.233664651845735e-05,0.20048465363531948,0.1990537597660285,0.5301301635738612,0.0,37.103592171188104,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44339.68594440485
1070,,2.5,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1671.475134382723,24.42529930074837,14.55859257751448,18.909431514381655,0.96875,645505.0098231614,7.222783928877029e-05,0.2003550363910083,0.19839039878328973,0.5211759132129892,0.0,36.94511274171025,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44338.42120289388
766,,1.75,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1623.886821749271,23.553794089557005,14.585961970021833,18.96215342844372,0.9682348901098901,646716.6659378504,7.225512031850728e-05,0.2004968631057808,0.1987734718756935,0.5250941717755195,0.0,37.014461191497844,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44338.293714671076
1282,,3,2,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1779.6322854868486,24.692758169180905,14.591696330594749,18.952202465359772,0.9689217032967034,646900.232778896,7.22308448342894e-05,0.1995509563761016,0.1979192926138255,0.5256877909864524,0.0,37.024967535422164,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44333.44952653142
829,,2,0.35,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1820.6661461836775,22.504677794575176,14.62401177568497,19.014328768322592,0.9683493589743589,648104.674625711,7.227327126436739e-05,0.1998601288408132,0.19852703974421168,0.5295827200196496,0.0,37.093903080684015,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44317.844143376635
750,,1.75,0.6,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1768.2326252932544,23.705581219415446,14.597684065593276,18.984984208370744,0.9678914835164835,646908.8626782924,7.228236698572281e-05,0.20019670397713257,0.1989014823065906,0.5257156983908668,0.0,37.025461462814356,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44315.85584202743
982,,2.25,2,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1651.4240232357406,24.048827568334477,14.606326975033063,19.071699991175812,0.9688644688644689,647210.931749473,7.24059749982516e-05,0.2004460913550929,0.1988267924423704,0.5266925306044629,0.0,37.042750214598954,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44310.31380139345
964,,2.25,0.9,3sigma,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1672.6336721191183,24.301757654550023,14.572808911480003,18.934431148431994,0.9686927655677655,645722.286963596,7.2257395061343e-05,0.20065890745915763,0.19880817052112865,0.521878544929719,0.0,36.95754847548054,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44310.077136530366
942,,2.25,0.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1725.3635012274608,24.188208067560208,14.587404526354554,18.97778164768857,0.9681776556776557,646335.3614881187,7.2297647330766e-05,0.19977890030434384,0.19868950115074985,0.5238611078665607,0.0,36.99263744780899,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44307.769783199416
1362,,3.25,0.8,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1693.6631286154734,24.04651965765238,14.579928479303724,18.90532095793688,0.9689789377289377,645960.5846057561,7.220018935837001e-05,0.1999782789982594,0.19823483693755586,0.5226491528319984,0.0,36.97118730573238,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44304.78417796768
1370,,3.25,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1642.2915613229852,24.61554251783787,14.582580570877935,18.923319187844328,0.9689217032967034,646065.2705395274,7.222383946804489e-05,0.20058207565679567,0.1984913919711231,0.5229876866382519,0.0,36.97717894571471,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44303.905430136874
833,,2,0.4,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1780.9763959754491,22.18131229630181,14.627292281485639,19.041927043384007,0.9685782967032966,648024.8008350633,7.232067737024582e-05,0.20031323038869134,0.1988149043482971,0.5293244238246045,0.0,37.089331549625875,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44302.44425041638
737,,1.75,0.45,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1762.9188118698657,22.367850686272337,14.61939428918796,19.005880694896454,0.9682921245421245,647667.6838514217,7.228019336583629e-05,0.2004317162128834,0.1987646094141471,0.5281695774436757,0.0,37.06889216182588,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44301.95061709336
1062,,2.5,0.8,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1700.767319125589,24.67885110172255,14.570434730830863,18.913398491878027,0.9684065934065934,645495.9945654643,7.223454981802947e-05,0.2002411358977045,0.19846464686331516,0.5211467596353059,0.0,36.9445967585545,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44301.76631583975
1366,,3.25,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1687.5447448435589,24.42590243005319,14.581264238819182,18.901690163308945,0.9682921245421245,645956.5536866848,7.219462822759097e-05,0.19961715416773673,0.19826843870154814,0.522636117629209,0.0,36.97095659836795,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44300.44906305021
1266,,3,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1691.490739138564,24.729008124092704,14.578132707209747,18.903055274438046,0.9685210622710623,645810.7765441877,7.220354479367107e-05,0.19965895283987845,0.1982146463199976,0.5221647029019725,0.0,36.96261312638437,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44299.96553843938
1470,,3.5,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1707.0920750749065,23.994658030158654,14.592273309219431,18.940069142527793,0.9689789377289377,646379.5200205895,7.223578990124931e-05,0.20044054893735327,0.19850643882332225,0.5240039079117756,0.0,36.995164836343264,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44296.01243914514
1170,,2.75,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1697.8953820068273,25.552721929621974,14.570911500361362,18.86368754021849,0.9685782967032966,645431.7750588665,7.215877190573381e-05,0.1999472737240144,0.1982241832229158,0.5209390863288637,0.0,36.940921191556,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44295.90935631307
978,,2.25,1.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1623.3351958600688,23.53419220904521,14.590460176650158,18.97263832016014,0.9691506410256411,646272.4432863084,7.229241514900842e-05,0.2005073252549794,0.1984255745384456,0.5236576427249309,0.0,36.98903636025117,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44294.17821382841
1570,,3.75,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1707.0920750749065,24.04999414367645,14.599058941852748,18.966954828235682,0.9686355311355311,646647.7767709787,7.22659302291713e-05,0.20024081308510044,0.1986240104906082,0.5248713977023414,0.0,37.01051835914485,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44293.79861719453
666,,1.5,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1658.3500281908782,23.38125809423997,14.607792254792232,19.02989735277573,0.9676053113553114,647020.8120614337,7.234841809665503e-05,0.20105475422755703,0.1991577200563885,0.526077720769779,0.0,37.03186882219744,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44292.85416823833
674,,1.5,1.25,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1647.7908589041326,23.748186499808355,14.59777003298967,19.046418301454086,0.9678342490842491,646547.0806780952,7.23968670618815e-05,0.20070419484407223,0.19903386676820242,0.5245457662600774,0.0,37.00475507544043,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44290.81148812154
