,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
4907,0.05,0.25,0.05,iqr,kernel,_____None____,benchmark_prediction,1734.1749840336852,20.99591147428192,13.424880279656865,17.36799857671501,0.9713827838827839,639990.3408424238,7.010196645742392e-05,0.19362994802680164,0.1938383813724484,0.5033425538205497,0.0,36.62948379363689,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47671.95889353449
4916,0.05,0.25,0.9,iqr,kernel,_____None____,benchmark_prediction,1745.574949136353,21.14095222290683,13.435852416393844,17.383353877355752,0.9715544871794872,639993.4445856888,7.012460423796876e-05,0.1938059622758632,0.19389643103293827,0.5033525907183759,0.0,36.629661434620466,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47633.259487488605
4903,0.05,0.25,0.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1753.8372324585216,21.36785862761815,13.431162067784,17.37456885280019,0.9716689560439561,639680.1326342842,7.012419632524604e-05,0.19410710471816,0.1938877840818535,0.5023394012321419,0.0,36.61172920296956,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47626.5664434667
4910,0.05,0.25,0.35,iqr,kernel,_____None____,benchmark_prediction,1745.3615400453564,21.068942222727014,13.439415715042559,17.388709682350807,0.971783424908425,640029.3724880368,7.013110035121534e-05,0.1940689448947049,0.19392918060508013,0.5034687745178072,0.0,36.63171774771273,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47623.30342766765
4921,0.05,0.25,5.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1749.4281078581698,21.28467123677573,13.43581484141898,17.380421962324267,0.971783424908425,639742.9604616918,7.013034900765586e-05,0.19420147844091934,0.19394437803152734,0.5025425741206544,0.0,36.61532511799976,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47614.749683029084
4906,0.05,0.25,0.05,5_95_IPR,kernel,_____None____,benchmark_prediction,1762.8208038870944,21.41007561030881,13.435150119275194,17.377124247836406,0.9715544871794872,639678.2974177419,7.012806215567373e-05,0.19397605332972706,0.1938704479946227,0.5023334665012855,0.0,36.61162416539273,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47612.29251171564
4943,0.05,1.25,5.0,iqr,kernel,_____None____,benchmark_prediction,1736.6140448189108,20.924560000968217,13.455244247223153,17.50074591249727,0.9724130036630036,640629.1907891935,7.027337240170016e-05,0.19471596030307256,0.19429422425841494,0.5054084694246193,0.0,36.66604800762325,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47611.85891674946
4933,0.05,1.25,0.7,5_95_IPR,kernel,_____None____,benchmark_prediction,1796.4899382715812,21.469580320656057,13.451644352055085,17.436400583418557,0.9720695970695971,640371.9561817453,7.018806819170971e-05,0.19424534948679759,0.19414741213676473,0.5045766230855514,0.0,36.65132533091491,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47605.47777074644
4909,0.05,0.25,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1753.8372324585216,21.51868450550458,13.435401054923066,17.37994441198611,0.9715544871794872,639590.8779677748,7.013577354971914e-05,0.1941239298282335,0.193942814633425,0.5020507691218783,0.0,36.60662076280762,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47604.89659766522
4936,0.05,1.25,0.9,5_95_IPR,kernel,_____None____,benchmark_prediction,1767.5440084490692,21.244198166325283,13.453421264968307,17.428080358933908,0.9720123626373627,640373.5744500302,7.017564341690157e-05,0.19418573501100614,0.19403872425537108,0.5045818562482344,0.0,36.6514179515814,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47599.310378952796
