param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
,1.5,0.3,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1572.5137661389308,20.56953232705306,14.721794989550949,19.053789775105063,0.9677770146520146,647818.5402683922,7.234910026984238e-05,0.2003243191469605,0.1986718385074055,0.5286574175497432,0.0,37.077526343200105,44004.04575177095
,2,0.35,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1573.5679741613567,20.624959538104488,14.72970081048646,19.101411264730025,0.9681204212454212,648139.9472861615,7.240968566692564e-05,0.1998858972444406,0.1987259327442504,0.5296967848951183,0.0,37.09592189137829,44002.24794958046
,1.75,0.15,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1544.7076490292093,21.24711041337517,14.73193999196483,19.11655909149113,0.9673191391941393,648124.1241743526,7.243450596309612e-05,0.1996179978052348,0.1989638227557572,0.5296456160506093,0.0,37.09501626455773,43994.48575868866
,1.5,0.35,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1596.9657935940777,21.15375537605084,14.731042048563836,19.109696937407413,0.9676053113553114,648050.4700496115,7.24270482095072e-05,0.2001308583510245,0.1988552628216436,0.5294074330369358,0.0,37.09080071254645,43992.1675542832
,2,0.2,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1588.488094030472,21.47442627987216,14.729657796122938,19.114016811262484,0.9673763736263736,647846.0285719341,7.244351231936453e-05,0.1992277114146602,0.1988978837248411,0.5287463093395973,0.0,37.07909962064641,43982.42223539346
,2,0.35,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1673.8141276447568,22.75109634836295,14.694766953899132,19.044822873995045,0.9667467948717948,646181.4611453201,7.241148726126982e-05,0.1994606709904056,0.1986731296692219,0.5233634243005418,0.0,36.98382904906823,43973.57665980959
,1.5,0.25,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1630.5489132574876,21.22119171248923,14.72402281501832,19.043903400008386,0.9674908424908424,647466.1109701317,7.234986120660007e-05,0.2001631020623955,0.1986293417537291,0.527517730225217,0.0,37.05735525241138,43973.45203171815
,1,0.4,iqr,kernel,_____None____,benchmark_prediction,1631.9502608623588,23.2823899798187,14.738036468661072,19.722429702922213,0.967948717948718,647719.5735179159,7.343347724199783e-05,0.2017922969389718,0.2009475656635672,0.5283373784621188,0.0,37.071862037426506,43948.83775021356
,1.5,0.4,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1608.413915805868,21.1176280243864,14.739784826756406,19.09279266628729,0.9673763736263736,647717.0335708635,7.241579987498324e-05,0.2002721770004473,0.1987760409732097,0.52832916477082,0.0,37.07171666499906,43943.45244410181
,1.25,0.5,mae,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1616.3493625548435,22.452772152135456,14.755635271016692,19.15224295586176,0.9664033882783882,648410.5900291821,7.247782736094636e-05,0.1992313789193463,0.1987944991678514,0.5305719905185386,0.0,37.11141197511345,43943.25138293455
,1.75,0.45,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1742.3251105775707,23.083755996126545,14.711361175383018,19.06115512862493,0.9666895604395604,646384.03760915,7.242800138039063e-05,0.1997741255917555,0.1986964206445997,0.5240185169083752,0.0,36.9954233979596,43937.745114351805
,1.5,0.2,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1623.613486609887,21.60740382107128,14.738070460735928,19.09424964288715,0.967147435897436,647537.5777180485,7.24265340043877e-05,0.2003018222469142,0.1988730879786302,0.5277488396906554,0.0,37.06144561115204,43936.38770035534
,2,0.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1750.7142320061105,23.02982320819724,14.709633706432168,19.056490685777103,0.9669184981684982,646251.8086568913,7.242678134933002e-05,0.1998951379081643,0.1985953226808204,0.5235909143748502,0.0,36.98785534895212,43933.91579657765
,2,0.5,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1597.0937853288488,21.358904665124367,14.748782580726257,19.16623161410884,0.9681204212454212,647961.1744867095,7.252128621689921e-05,0.2005578867328695,0.1989915117055781,0.5291186686757486,0.0,37.085689931702696,43933.19726154664
,1,0.35,iqr,kernel,_____None____,benchmark_prediction,1619.4666134626605,22.410803842985818,14.745204745300844,19.74649565292407,0.9678914835164836,647787.8252825029,7.346961290461603e-05,0.2022087905884574,0.2011412875904959,0.5285580913011487,0.0,37.07576838842164,43932.10107773828
,1.75,0.4,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1697.659704625199,22.677523466436668,14.711660264926346,19.05448593650312,0.9664606227106228,646143.2995314748,7.242868700138776e-05,0.1997678364926281,0.198673779555031,0.5232400171156183,0.0,36.981644890766646,43920.488095550085
,1.5,0.45,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1761.7160224805702,22.959433158047407,14.72356413112938,19.049548224613584,0.967147435897436,646635.192661993,7.239771758498932e-05,0.2001898712790985,0.1986601596117863,0.524830703158578,0.0,37.00979811481187,43918.38734853885
,1.75,0.1,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1583.1380059186486,21.80187285084372,14.756025184602745,19.119370287889875,0.9673763736263736,647924.5887765433,7.244834305316386e-05,0.1996887164212053,0.1988573723102293,0.5290003576546699,0.0,37.08359596935344,43909.154441714
,1.5,0.4,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1710.5553366444656,22.590683437810487,14.726982083524256,19.06884356177527,0.9666895604395604,646628.2994078205,7.242877495222052e-05,0.2002006128871096,0.1987992040030025,0.5248084117246822,0.0,37.009403583323056,43907.72635835776
