param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
0.35,0.5,0.5,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,789.587244784263,47.2372475583326,7.39703576311217,12.000532538575726,0.6102335164835165,35248.918286293134,0.0020823605314775,0.4899774890795791,0.5002452252904382,0.1139880979601654,0.0,2.017451824993884,4765.2761748258445
0.35,0.5,0.35,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,792.3767856680879,47.67489122960145,7.433490837629207,12.03721483438925,0.6100618131868132,35260.70255693248,0.0020933982785912,0.4894260769767186,0.5003268184910901,0.114026205983371,0.0,2.0181262910332234,4743.491762771623
0.35,0.5,0.4,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,805.4690335084397,47.78760726223465,7.419602543549443,12.016336128506987,0.6097756410256411,35146.657935096395,0.0020995304387194,0.4895215899248193,0.5004465420565753,0.1136574080128887,0.0,2.0115990118530447,4737.000092498578
0.35,0.5,0.2,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,823.814063042084,48.72090281246399,7.444243496963239,11.989668701307806,0.6117788461538461,35137.03578196562,0.0020915894519461,0.4884453891407984,0.4982480528554237,0.1136262918542381,0.0,2.011048293381732,4720.027736370958
0.3,0.75,0.4,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,911.6596786897662,53.81071327430176,7.25898220134563,11.68089871354279,0.608058608058608,34226.50967856164,0.0020922601907004,0.4963583950257254,0.5064992313576238,0.1106818287695238,0.0,1.9589348488187752,4715.056288775156
0.35,0.75,0.2,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,874.0321369312751,50.75959574315648,7.344005569176701,11.821419617759624,0.6049679487179487,34602.17276880743,0.0020965063913845,0.4917834226826011,0.5040070144908083,0.1118966496268098,0.0,1.9804357125004253,4711.621259389445
0.25,0.5,0.35,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,823.3361309116881,52.2998207438232,7.200131643611309,11.552713984843752,0.6134958791208791,33870.07582706673,0.0020899580169869,0.5003286212477354,0.5073123230098419,0.1095291915041607,0.0,1.938534559699332,4704.091189377033
0.25,0.5,0.4,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,813.6750848954507,52.08429040563478,7.19903466249344,11.551531068133231,0.6129807692307693,33852.27183075106,0.0020916800385441,0.5002795957945304,0.5074849778142672,0.1094716168671285,0.0,1.937515558078701,4702.334884858864
0.25,0.5,0.5,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,813.6750848954507,52.332935359724914,7.199540498779873,11.558930728370186,0.612408424908425,33844.72932403991,0.0020951953575848,0.5005764913297074,0.5078278552264825,0.1094472258776838,0.0,1.937083866989464,4700.956863813138
0.3,0.75,0.35,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,904.5298613791928,53.378997833772296,7.263902290321766,11.685949624635896,0.6075434981684982,34064.37425844791,0.0021134555231364,0.4962693573183368,0.506737451659134,0.1101575145763725,0.0,1.9496551201034749,4689.5419152091845
